Edward scored 82
Paula scored 87
Peter scored 56
Sophie scored 84
Alex scored 90
Nicholas scored 77
Victor scored 75
Lulu scored 78
Tara scored 99
Patricia scored 67
Lou scored 90
Ryan scored 52
Henry scored 53
Maggie scored 88
George scored 56
Theo scored 84
Lisa scored 83
Susan scored 74
Anne scored 89
Zooey scored 76
Rafael scored 93
Greg scored 89
Eugene scored 67
Tinky-Winky scored 70
Laalaa scored 97
Dipsy scored 76
Po scored 57
Belinda scored 71
Ulysses scored 101
Trevor scored 103
Petra scored 95
Thomas scored 83
Sasha scored 74
Betty scored 84
Ana scored 58
Tim scored 98
Laura scored 102
Tina scored 63
Max scored 60
Nico scored 87
Tiger scored 62
Reggie scored 69
Romulus scored 65
Edie scored 75
Will scored 93
Oscar scored 85
Alfred scored 56
Curt scored 62
Zach scored 98
Ned scored 104
Ally scored 61
Mia scored 100
Michael scored 70
Xavier scored 79
Xerxes scored 51
